Date,Mean of error,SD of error
2015-11-23,24.0,41.04
2015-11-30,24.0,41.04
2015-12-07,24.0,41.04
2015-12-14,24.0,41.04
2015-12-21,1223.9,1024.82
2015-12-28,1223.9,1024.82
2016-01-04,1223.9,1024.82
2016-01-11,1223.9,1024.82
2016-01-18,1082.13,905.32
2016-01-25,1082.13,905.32
2016-02-01,1082.13,905.32
2016-02-08,1082.13,905.32
2016-02-15,997.11,865.76
2016-02-22,997.11,865.76
2016-02-29,997.11,865.76
2016-03-07,997.11,865.76
2016-03-14,953.6,852.09
2016-03-21,953.6,852.09
2016-03-28,953.6,852.09
2016-04-04,953.6,852.09
2016-04-11,914.88,838.65
2016-04-18,914.88,838.65
2016-04-25,914.88,838.65
2016-05-02,914.88,838.65
2016-05-09,900.77,838.06
2016-05-16,900.77,838.06
2016-05-23,900.77,838.06
2016-05-30,900.77,838.06
2016-06-06,852.5,818.97
2016-06-13,852.5,818.97
2016-06-20,852.5,818.97
2016-06-27,852.5,818.97
2016-07-04,829.46,808.04
2016-07-11,829.46,808.04
2016-07-18,829.46,808.04
2016-07-25,829.46,808.04
2016-08-01,814.72,798.95
2016-08-08,814.72,798.95
2016-08-15,814.72,798.95
2016-08-22,814.72,798.95
2016-08-29,799.3,787.32
2016-09-05,799.3,787.32
2016-09-12,799.3,787.32
2016-09-19,799.3,787.32
2016-09-26,758.46,731.58
2016-10-03,758.46,731.58
2016-10-10,758.46,731.58
2016-10-17,758.46,731.58
2016-10-24,782.34,775.25
2016-10-31,782.34,775.25
2016-11-07,782.34,775.25
2016-11-14,782.34,775.25
2016-11-21,777.84,734.84
2016-11-28,777.84,734.84
2016-12-05,777.84,734.84
2016-12-12,777.84,734.84
2016-12-19,765.04,706.78
2016-12-26,765.04,706.78
2017-01-02,765.04,706.78
2017-01-09,765.04,706.78
2017-01-16,751.34,687.99
2017-01-23,751.34,687.99
2017-01-30,751.34,687.99
2017-02-06,751.34,687.99
2017-02-13,742.94,675.75
2017-02-20,742.94,675.75
2017-02-27,742.94,675.75
2017-03-06,742.94,675.75
2017-03-13,730.55,665.63
2017-03-20,730.55,665.63
2017-03-27,730.55,665.63
2017-04-03,730.55,665.63
2017-04-10,732.93,667.19
2017-04-17,732.93,667.19
2017-04-24,732.93,667.19
2017-05-01,732.93,667.19
2017-05-08,711.97,655.94
2017-05-15,711.97,655.94
2017-05-22,711.97,655.94
2017-05-29,711.97,655.94
2017-06-05,711.26,658.49
2017-06-12,711.26,658.49
2017-06-19,711.26,658.49
2017-06-26,711.26,658.49
2017-07-03,677.18,604.72
2017-07-10,677.18,604.72
2017-07-17,677.18,604.72
2017-07-24,677.18,604.72
2017-07-31,662.18,591.47
2017-08-07,662.18,591.47
2017-08-14,662.18,591.47
2017-08-21,662.18,591.47
2017-08-28,671.25,586.68
2017-09-04,671.25,586.68
2017-09-11,671.25,586.68
2017-09-18,671.25,586.68
2017-09-25,674.26,600.71
2017-10-02,674.26,600.71
2017-10-09,674.26,600.71
2017-10-16,674.26,600.71
2017-10-23,672.05,594.37
2017-10-30,672.05,594.37
2017-11-06,672.05,594.37
2017-11-13,672.05,594.37
2017-11-20,651.24,591.98
2017-11-27,651.24,591.98
2017-12-04,651.24,591.98
2017-12-11,651.24,591.98
2017-12-18,664.09,595.79
2017-12-25,664.09,595.79
2018-01-01,664.09,595.79
2018-01-08,664.09,595.79
2018-01-15,663.28,585.41
2018-01-22,663.28,585.41
2018-01-29,663.28,585.41
2018-02-05,663.28,585.41
2018-02-12,659.38,578.59
2018-02-19,659.38,578.59
2018-02-26,659.38,578.59
2018-03-05,659.38,578.59
