Date,Mean of error,SD of error
2015-12-21,1723.04,1408.68
2015-12-28,1723.04,1408.68
2016-01-04,1723.04,1408.68
2016-01-11,1723.04,1408.68
2016-01-18,1599.65,1249.62
2016-01-25,1599.65,1249.62
2016-02-01,1599.65,1249.62
2016-02-08,1599.65,1249.62
2016-02-15,1615.89,1257.55
2016-02-22,1615.89,1257.55
2016-02-29,1615.89,1257.55
2016-03-07,1615.89,1257.55
2016-03-14,2117.99,1378.37
2016-03-21,2117.99,1378.37
2016-03-28,2117.99,1378.37
2016-04-04,2117.99,1378.37
2016-04-11,1635.87,1262.98
2016-04-18,1635.87,1262.98
2016-04-25,1635.87,1262.98
2016-05-02,1635.87,1262.98
2016-05-09,1298.27,1081.6
2016-05-16,1298.27,1081.6
2016-05-23,1298.27,1081.6
2016-05-30,1298.27,1081.6
2016-06-06,1306.78,1074.93
2016-06-13,1306.78,1074.93
2016-06-20,1306.78,1074.93
2016-06-27,1306.78,1074.93
2016-07-04,1279.67,1063.86
2016-07-11,1279.67,1063.86
2016-07-18,1279.67,1063.86
2016-07-25,1279.67,1063.86
2016-08-01,1274.76,1056.99
2016-08-08,1274.76,1056.99
2016-08-15,1274.76,1056.99
2016-08-22,1274.76,1056.99
2016-08-29,1287.74,1030.68
2016-09-05,1287.74,1030.68
2016-09-12,1287.74,1030.68
2016-09-19,1287.74,1030.68
2016-09-26,1253.77,1024.34
2016-10-03,1253.77,1024.34
2016-10-10,1253.77,1024.34
2016-10-17,1253.77,1024.34
2016-10-24,1249.87,1022.0
2016-10-31,1249.87,1022.0
2016-11-07,1249.87,1022.0
2016-11-14,1249.87,1022.0
2016-11-21,1218.2,1027.58
2016-11-28,1218.2,1027.58
2016-12-05,1218.2,1027.58
2016-12-12,1218.2,1027.58
2016-12-19,1250.32,1050.27
2016-12-26,1250.32,1050.27
2017-01-02,1250.32,1050.27
2017-01-09,1250.32,1050.27
2017-01-16,1249.95,1018.75
2017-01-23,1249.95,1018.75
2017-01-30,1249.95,1018.75
2017-02-06,1249.95,1018.75
2017-02-13,1222.0,1004.17
2017-02-20,1222.0,1004.17
2017-02-27,1222.0,1004.17
2017-03-06,1222.0,1004.17
2017-03-13,1182.12,969.17
2017-03-20,1182.12,969.17
2017-03-27,1182.12,969.17
2017-04-03,1182.12,969.17
2017-04-10,1153.53,954.05
2017-04-17,1153.53,954.05
2017-04-24,1153.53,954.05
2017-05-01,1153.53,954.05
2017-05-08,1127.67,949.94
2017-05-15,1127.67,949.94
2017-05-22,1127.67,949.94
2017-05-29,1127.67,949.94
2017-06-05,1094.58,949.07
2017-06-12,1094.58,949.07
2017-06-19,1094.58,949.07
2017-06-26,1094.58,949.07
2017-07-03,1102.99,932.84
2017-07-10,1102.99,932.84
2017-07-17,1102.99,932.84
2017-07-24,1102.99,932.84
2017-07-31,1136.49,1034.67
2017-08-07,1136.49,1034.67
2017-08-14,1136.49,1034.67
2017-08-21,1136.49,1034.67
2017-08-28,1203.1,1122.23
2017-09-04,1203.1,1122.23
2017-09-11,1203.1,1122.23
2017-09-18,1203.1,1122.23
2017-09-25,1256.69,1106.39
2017-10-02,1256.69,1106.39
2017-10-09,1256.69,1106.39
2017-10-16,1256.69,1106.39
2017-10-23,1363.23,1189.44
2017-10-30,1363.23,1189.44
2017-11-06,1363.23,1189.44
2017-11-13,1363.23,1189.44
2017-11-20,1388.97,1148.22
2017-11-27,1388.97,1148.22
2017-12-04,1388.97,1148.22
2017-12-11,1388.97,1148.22
2017-12-18,1405.59,1146.39
2017-12-25,1405.59,1146.39
2018-01-01,1405.59,1146.39
2018-01-08,1405.59,1146.39
2018-01-15,1421.37,1125.2
2018-01-22,1421.37,1125.2
2018-01-29,1421.37,1125.2
2018-02-05,1421.37,1125.2
2018-02-12,1414.77,1105.53
2018-02-19,1414.77,1105.53
2018-02-26,1414.77,1105.53
2018-03-05,1414.77,1105.53
