Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1723.04,1408.68,3.54,2223.48,84.43,207,4,1,103.85343837738037,4
2,Training,1599.65,1249.62,3.36,2028.07,86.79,212,0,0,0.6387450695037842,4
3,Training,1615.89,1257.55,3.45,2045.75,85.85,212,0,0,0.502899169921875,4
4,Training,2117.99,1378.37,4.50,2525.23,75.94,211,0,1,10.667911529541016,6
5,Training,1635.87,1262.98,3.56,2064.86,86.79,212,0,0,39.26982021331787,6
6,Training,1298.27,1081.6,2.80,1688.15,92.45,211,0,1,40.57904529571533,9
7,Training,1306.78,1074.93,2.84,1690.47,91.98,212,0,0,51.98942518234253,9
8,Training,1279.67,1063.86,2.82,1662.54,92.92,212,0,0,52.22460460662842,9
9,Training,1274.76,1056.99,2.82,1654.38,93.4,212,0,0,54.11346769332886,9
10,Training,1287.74,1030.68,2.86,1647.9,92.92,212,0,0,52.84063506126404,9
11,Training,1253.77,1024.34,2.80,1617.49,93.87,212,0,0,52.781288623809814,9
12,Training,1249.87,1022.0,2.81,1612.99,92.92,212,0,0,52.0063579082489,9
13,Training,1218.2,1027.58,2.77,1592.16,93.4,209,0,3,80.57622051239014,18
14,Training,1250.32,1050.27,2.85,1631.31,91.51,212,0,0,105.76851534843445,18
15,Training,1249.95,1018.75,2.85,1611.0,91.04,212,0,0,108.76991033554077,18
16,Training,1222.0,1004.17,2.80,1580.15,92.92,212,0,0,103.95088386535645,18
17,Training,1182.12,969.17,2.73,1527.18,93.87,212,0,0,100.89737963676453,18
18,Training,1153.53,954.05,2.67,1495.51,94.34,212,0,0,101.10518622398376,18
19,Training,1127.67,949.94,2.63,1473.01,94.81,212,0,0,101.25348544120789,18
20,Training,1094.58,949.07,2.57,1447.27,94.81,212,0,0,93.24902391433716,18
21,Training,1102.99,932.84,2.58,1443.15,94.81,212,0,0,90.87205195426941,18
22,Training,1136.49,1034.67,2.66,1535.28,91.98,212,0,0,86.26899600028992,18
23,Training,1203.1,1122.23,2.79,1643.45,91.51,212,0,0,83.78342890739441,18
24,Training,1256.69,1106.39,2.90,1672.6,90.57,212,0,0,84.53086733818054,18
25,Training,1363.23,1189.44,3.10,1807.35,88.68,212,0,0,85.48535466194153,18
26,Training,1388.97,1148.22,3.15,1800.4,88.68,212,0,0,85.24346995353699,18
27,Training,1405.59,1146.39,3.19,1812.09,90.09,212,0,0,87.22991228103638,18
28,Training,1421.37,1125.2,3.23,1811.19,90.09,212,0,0,88.59525656700134,18
29,Training,1414.77,1105.53,3.20,1793.87,89.15,212,0,0,86.52429699897766,18
30,Training,1413.54,1104.66,3.21,1792.37,89.62,212,0,0,87.20275497436523,18
31,Training,1369.6,1065.97,3.11,1733.99,91.04,212,0,0,93.88282418251038,18
32,Training,1357.3,1072.02,3.08,1728.03,91.04,212,0,0,91.70305585861206,18
33,Training,1351.8,1075.28,3.07,1725.73,91.04,212,0,0,93.64568376541138,18
34,Training,1371.82,1086.03,3.11,1748.08,89.62,212,0,0,93.29916620254517,18
35,Training,1372.86,1077.43,3.11,1743.6,90.09,212,0,0,94.07530474662781,18
36,Training,1394.77,1067.55,3.15,1754.9,89.62,212,0,0,80.56599736213684,15
37,Training,1400.51,1062.53,3.16,1756.44,89.62,212,0,0,82.19381308555603,15
38,Training,1394.85,1064.95,3.15,1753.39,90.09,212,0,0,81.18615984916687,15
39,Training,1393.65,1057.68,3.15,1748.05,90.09,212,0,0,82.30989718437195,15
40,Training,1392.0,1054.64,3.14,1744.9,90.09,212,0,0,82.43835067749023,15
41,Training,1400.04,1046.35,3.16,1746.37,90.57,212,0,0,80.77796149253845,15
42,Training,1364.99,1007.49,3.06,1695.12,91.51,212,0,0,81.20040440559387,15
43,Training,1371.29,994.13,3.07,1692.35,91.51,212,0,0,81.93472361564636,15
44,Training,1374.47,993.67,3.07,1694.66,91.51,212,0,0,80.74625873565674,15
45,Training,1358.53,994.39,3.03,1682.19,92.45,212,0,0,82.22770547866821,15
46,Training,1291.01,919.31,2.88,1583.62,94.34,212,0,0,80.68076658248901,15
47,Training,1277.45,917.48,2.85,1571.51,94.81,212,0,0,81.58483719825745,15
48,Training,1274.26,918.67,2.83,1569.62,94.81,212,0,0,81.6208770275116,15
49,Training,1253.92,913.63,2.77,1550.19,94.81,212,0,0,81.07128405570984,15
50,Training,1235.96,910.22,2.73,1533.68,94.81,212,0,0,82.81002140045166,15
51,Training,1222.05,915.09,2.69,1525.4,94.81,212,0,0,82.14033341407776,15
52,Training,1216.24,917.69,2.67,1522.31,94.81,212,0,0,82.19676065444946,15
53,Training,1190.89,900.2,2.58,1491.56,95.28,212,0,0,81.60421514511108,15
54,Training,1189.49,900.27,2.57,1490.48,95.28,212,0,0,81.17142486572266,15
55,Training,1213.22,966.61,2.60,1549.79,92.92,212,0,0,81.98626852035522,15
56,Training,1233.97,1026.19,2.64,1603.36,93.4,211,0,1,86.69830894470215,18
57,Training,1236.36,1012.66,2.65,1596.63,93.4,212,0,0,98.4154303073883,18
58,Training,1241.95,1014.19,2.65,1601.93,93.4,212,0,0,97.4816963672638,18
59,Training,1283.81,1032.37,2.74,1645.88,94.81,212,0,0,97.34793901443481,18
60,Training,1356.74,1170.65,2.87,1790.17,92.92,212,0,0,98.07020092010498,18
61,Training,1265.41,1036.14,2.65,1633.95,93.4,212,0,0,97.72365546226501,18
62,Training,1274.68,1007.5,2.66,1623.29,93.87,212,0,0,97.67539882659912,18
63,Training,1235.7,977.64,2.56,1574.24,95.75,212,0,0,97.71374416351318,18
64,Training,1244.24,951.95,2.58,1565.27,96.23,212,0,0,96.44719362258911,18
65,Training,1290.4,1029.05,2.65,1648.96,95.28,212,0,0,98.13080978393555,18
