Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,836.66,822.03,1.75,1171.55,97.64,212,0,0,63.73425841331482,1
2,Training,812.24,804.7,1.70,1142.02,98.11,212,0,0,1.202549695968628,1
3,Training,811.45,796.43,1.72,1135.67,98.11,212,0,0,1.1748721599578857,1
4,Training,801.4,784.21,1.71,1119.97,98.11,212,0,0,1.2464125156402588,1
5,Training,792.64,791.72,1.69,1118.99,98.11,212,0,0,1.2185759544372559,1
6,Training,792.12,781.76,1.69,1111.63,98.11,212,0,0,1.195918083190918,1
7,Training,790.13,785.09,1.70,1112.54,98.11,212,0,0,1.175847053527832,1
8,Training,752.68,775.1,1.63,1079.11,98.11,211,1,0,1.310621976852417,1
9,Training,742.5,771.91,1.62,1069.74,98.11,211,1,0,1.0076897144317627,1
10,Training,734.92,766.58,1.61,1060.65,98.11,211,1,0,1.135162591934204,1
11,Training,727.13,764.29,1.60,1053.62,98.11,211,1,0,1.097900390625,1
12,Training,715.06,743.81,1.59,1030.51,98.11,211,1,0,1.2791080474853516,1
13,Training,747.0,793.92,1.67,1088.74,97.17,211,1,0,1.2148866653442383,1
14,Training,730.56,742.44,1.64,1040.35,97.64,211,1,0,1.0637266635894775,1
15,Training,725.94,727.42,1.64,1026.47,97.64,211,1,0,1.2657997608184814,1
16,Training,711.31,718.88,1.61,1010.1,97.64,212,0,0,1.2423903942108154,1
17,Training,709.5,710.22,1.61,1002.71,98.58,212,0,0,1.163336992263794,1
18,Training,699.16,705.84,1.59,992.31,98.58,212,0,0,1.208850383758545,1
19,Training,700.87,705.62,1.59,993.36,98.58,212,0,0,1.1923398971557617,1
20,Training,677.96,700.74,1.55,973.83,98.58,212,0,0,1.208702802658081,1
21,Training,682.37,700.23,1.56,976.55,98.58,212,0,0,1.2118778228759766,1
22,Training,634.55,583.53,1.46,861.14,99.06,212,0,0,1.2256338596343994,1
23,Training,626.87,572.24,1.44,847.87,99.06,212,0,0,1.2052476406097412,1
24,Training,635.2,571.46,1.46,853.52,99.06,212,0,0,1.165788173675537,1
25,Training,651.27,588.44,1.48,876.8,99.06,212,0,0,1.202608346939087,1
26,Training,651.38,581.7,1.48,872.39,99.53,212,0,0,1.1964547634124756,1
27,Training,638.9,577.8,1.46,860.51,99.53,212,0,0,1.1954803466796875,1
28,Training,655.85,580.45,1.49,874.91,99.53,212,0,0,1.2486755847930908,1
29,Training,651.83,575.59,1.48,868.69,99.53,212,0,0,1.1868293285369873,1
30,Training,647.81,570.38,1.47,862.24,99.53,212,0,0,1.2225315570831299,1
31,Training,647.41,550.83,1.46,849.19,100.0,212,0,0,1.2521133422851562,1
32,Training,646.9,547.65,1.46,846.76,100.0,212,0,0,0.9856810569763184,1
33,Training,648.81,544.34,1.46,846.09,100.0,212,0,0,1.2200779914855957,1
34,Training,661.81,544.57,1.48,856.25,100.0,212,0,0,1.2218225002288818,1
35,Training,663.2,549.94,1.49,860.73,100.0,212,0,0,0.9648318290710449,1
36,Training,674.08,552.96,1.51,871.04,100.0,212,0,0,1.2000682353973389,1
37,Training,677.82,556.27,1.52,876.02,100.0,212,0,0,1.179638147354126,1
38,Training,682.47,549.26,1.53,875.23,100.0,212,0,0,1.1731946468353271,1
39,Training,685.39,547.12,1.53,876.18,100.0,212,0,0,1.1761808395385742,1
40,Training,672.04,532.63,1.50,856.74,100.0,212,0,0,1.1711678504943848,1
41,Training,667.72,531.81,1.49,852.84,100.0,212,0,0,1.2366182804107666,1
42,Training,645.94,518.5,1.44,827.54,100.0,212,0,0,1.1876959800720215,1
43,Training,633.49,517.7,1.41,817.35,100.0,212,0,0,1.212188482284546,1
44,Training,625.16,518.87,1.39,811.65,100.0,212,0,0,1.215101957321167,1
45,Training,622.09,517.42,1.38,808.36,100.0,212,0,0,1.1821517944335938,1
46,Training,624.8,516.99,1.39,810.18,100.0,212,0,0,1.195941686630249,1
47,Training,627.55,519.09,1.39,813.64,100.0,212,0,0,1.1556353569030762,1
48,Training,642.25,527.53,1.42,830.34,100.0,212,0,0,1.2343907356262207,1
49,Training,663.22,545.49,1.46,857.91,100.0,212,0,0,1.1989636421203613,1
50,Training,656.3,534.9,1.44,845.87,100.0,212,0,0,1.207012414932251,1
51,Training,626.13,523.11,1.37,815.1,100.0,212,0,0,1.2081379890441895,1
52,Training,603.57,518.59,1.31,794.96,100.0,212,0,0,1.223071813583374,1
53,Training,596.64,516.89,1.29,788.6,100.0,212,0,0,1.165869951248169,1
54,Training,591.66,515.45,1.27,783.9,100.0,212,0,0,1.2251996994018555,1
55,Training,589.45,519.54,1.26,784.92,100.0,212,0,0,1.2349300384521484,1
56,Training,589.8,515.43,1.25,782.48,100.0,212,0,0,1.20772385597229,1
57,Training,616.45,568.93,1.32,837.95,99.06,212,0,0,1.2131612300872803,1
58,Training,622.45,567.35,1.33,841.31,100.0,212,0,0,1.1899173259735107,1
59,Training,631.35,556.8,1.34,840.93,100.0,212,0,0,1.2404558658599854,1
60,Training,626.72,551.6,1.33,834.03,100.0,212,0,0,1.2166082859039307,1
61,Training,629.24,560.37,1.33,841.71,100.0,212,0,0,1.2201344966888428,1
62,Training,630.53,571.28,1.33,849.94,100.0,212,0,0,1.212022304534912,1
63,Training,656.9,581.29,1.38,876.26,99.53,212,0,0,1.2132947444915771,1
64,Training,669.67,572.0,1.40,879.83,99.53,212,0,0,1.2443592548370361,1
65,Training,660.82,557.89,1.38,863.98,99.53,212,0,0,1.2074718475341797,1
