Date,Mean of error,SD of error
2020-01-13,591.66,515.45
2020-01-20,591.66,515.45
2020-01-27,591.66,515.45
2020-02-03,591.66,515.45
2020-02-10,589.45,519.54
2020-02-17,589.45,519.54
2020-02-24,589.45,519.54
2020-03-02,589.45,519.54
2020-03-09,589.8,515.43
2020-03-16,589.8,515.43
2020-03-23,589.8,515.43
2020-03-30,589.8,515.43
2020-04-06,616.45,568.93
2020-04-13,616.45,568.93
2020-04-20,616.45,568.93
2020-04-27,616.45,568.93
2020-05-04,622.45,567.35
2020-05-11,622.45,567.35
2020-05-18,622.45,567.35
2020-05-25,622.45,567.35
2020-06-01,631.35,556.8
2020-06-08,631.35,556.8
2020-06-15,631.35,556.8
2020-06-22,631.35,556.8
2020-06-29,626.72,551.6
2020-07-06,626.72,551.6
2020-07-13,626.72,551.6
2020-07-20,626.72,551.6
2020-07-27,629.24,560.37
2020-08-03,629.24,560.37
2020-08-10,629.24,560.37
2020-08-17,629.24,560.37
2020-08-24,630.53,571.28
2020-08-31,630.53,571.28
2020-09-07,630.53,571.28
2020-09-14,630.53,571.28
2020-09-21,656.9,581.29
2020-09-28,656.9,581.29
2020-10-05,656.9,581.29
2020-10-12,656.9,581.29
2020-10-19,669.67,572.0
2020-10-26,669.67,572.0
2020-11-02,669.67,572.0
2020-11-09,669.67,572.0
2020-11-16,660.82,557.89
2020-11-23,660.82,557.89
2020-11-30,660.82,557.89
2020-12-07,660.82,557.89
