Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1852.67,1545.22,3.94,2410.15,82.55,206,6,0,74.20024561882019,1
2,Training,1939.48,1612.04,4.19,2519.52,81.6,212,0,0,1.4624826908111572,1
3,Training,1969.12,1633.53,4.31,2556.03,78.77,212,0,0,1.4568579196929932,1
4,Training,1984.05,1559.16,4.36,2521.1,78.77,212,0,0,1.4264278411865234,1
5,Training,1977.37,1532.82,4.36,2499.69,76.89,212,0,0,1.3332784175872803,1
6,Training,1918.36,1505.89,4.26,2436.62,78.3,212,0,0,1.3887741565704346,1
7,Training,1824.54,1499.58,4.09,2359.47,77.36,212,0,0,1.4071309566497803,1
8,Training,1734.23,1463.97,3.90,2267.3,81.6,212,0,0,1.283515453338623,1
9,Training,1673.91,1447.77,3.76,2210.91,82.08,212,0,0,1.4885282516479492,1
10,Training,1635.04,1429.39,3.67,2169.53,82.08,212,0,0,1.4575412273406982,1
11,Training,1585.58,1420.6,3.57,2126.66,82.55,212,0,0,1.4368619918823242,1
12,Training,1520.21,1371.67,3.45,2045.39,84.43,212,0,0,1.4368155002593994,1
13,Training,1307.52,1288.06,3.02,1833.27,87.26,211,0,1,32.69401478767395,4
14,Training,1206.73,1223.79,2.81,1716.62,90.57,212,0,0,1.4693045616149902,4
15,Training,1135.88,1174.63,2.66,1632.01,91.98,212,0,0,1.4674956798553467,4
16,Training,1097.8,1153.38,2.57,1590.34,92.92,212,0,0,1.4694690704345703,4
17,Training,1037.14,1118.76,2.46,1523.6,92.92,212,0,0,1.4373955726623535,4
18,Training,1024.98,1103.07,2.43,1503.87,93.4,212,0,0,1.3724069595336914,4
19,Training,1011.48,1087.41,2.40,1483.23,93.4,212,0,0,1.4334611892700195,4
20,Training,971.67,1064.96,2.32,1439.77,94.81,212,0,0,1.302276611328125,4
21,Training,962.89,1047.5,2.31,1421.0,95.75,212,0,0,1.3205440044403076,4
22,Training,949.64,1002.24,2.27,1378.97,95.75,212,0,0,1.3981873989105225,4
23,Training,992.61,1044.17,2.36,1438.9,95.28,212,0,0,1.4804208278656006,4
24,Training,1008.18,1038.67,2.38,1445.74,95.28,212,0,0,1.4528980255126953,4
25,Training,1073.48,1025.49,2.51,1482.91,95.28,212,0,0,1.4376015663146973,4
26,Training,1069.61,996.04,2.49,1459.96,95.75,212,0,0,1.4499189853668213,4
27,Training,1054.96,985.21,2.46,1441.88,96.7,212,0,0,1.2814629077911377,4
28,Training,1079.96,971.3,2.51,1450.95,97.17,212,0,0,1.4254734516143799,4
29,Training,1079.08,966.67,2.50,1447.22,97.17,211,0,1,11.655778408050537,4
30,Training,1077.14,871.79,2.48,1384.44,96.23,211,0,1,20.696425676345825,6
31,Training,1084.16,912.67,2.49,1415.78,95.75,212,0,0,34.801408767700195,6
32,Training,1079.55,903.67,2.48,1406.49,95.75,212,0,0,35.21451473236084,6
33,Training,1076.3,895.0,2.48,1398.45,95.75,212,0,0,34.65089154243469,6
34,Training,1086.85,897.0,2.50,1407.86,95.28,212,0,0,34.68907141685486,6
35,Training,1081.46,893.28,2.49,1401.34,95.75,212,0,0,35.93761396408081,6
36,Training,1078.71,890.64,2.48,1397.54,95.75,212,0,0,35.666786193847656,6
37,Training,1097.74,887.62,2.52,1410.39,96.23,212,0,0,35.50457000732422,6
38,Training,1101.79,884.56,2.53,1411.64,96.23,212,0,0,35.032100200653076,6
39,Training,1094.88,890.33,2.51,1409.86,96.23,212,0,0,33.66046929359436,6
40,Training,1084.91,890.05,2.49,1401.96,96.23,212,0,0,35.17557382583618,6
41,Training,1092.19,883.48,2.51,1403.47,96.23,212,0,0,34.61397671699524,6
42,Training,1069.31,876.04,2.45,1381.03,96.23,212,0,0,36.13393497467041,6
43,Training,1067.81,866.8,2.44,1374.05,96.23,212,0,0,35.70423722267151,6
44,Training,1064.33,862.4,2.43,1368.58,96.23,212,0,0,34.90203595161438,6
45,Training,1061.3,867.6,2.42,1369.5,96.23,212,0,0,35.21106719970703,6
46,Training,1030.6,846.77,2.35,1332.58,96.7,212,0,0,36.04332375526428,6
47,Training,1036.86,843.64,2.36,1335.46,96.7,212,0,0,36.21288347244263,6
48,Training,1041.65,820.05,2.37,1324.52,97.17,212,0,0,36.38308668136597,6
49,Training,1042.85,824.82,2.36,1328.4,97.17,212,0,0,35.824979066848755,6
50,Training,1008.63,810.66,2.27,1292.83,97.17,212,0,0,34.124698638916016,6
51,Training,957.91,761.55,2.14,1222.62,98.11,212,0,0,34.23564171791077,6
52,Training,918.88,735.01,2.04,1175.6,98.58,212,0,0,32.54714846611023,6
53,Training,911.28,742.2,2.00,1174.18,98.58,212,0,0,34.28290677070618,6
54,Training,919.48,743.38,2.00,1181.29,98.58,212,0,0,33.4698212146759,6
55,Training,909.66,748.28,1.96,1176.76,98.11,212,0,0,32.468586921691895,6
56,Training,897.07,748.75,1.92,1167.35,98.11,212,0,0,33.85664677619934,6
57,Training,935.04,826.81,2.02,1246.87,97.17,212,0,0,34.52295422554016,6
58,Training,941.65,824.8,2.03,1250.52,97.17,212,0,0,32.4700825214386,6
59,Training,937.05,823.33,2.02,1246.09,97.17,212,0,0,34.339123249053955,6
60,Training,937.05,834.42,2.00,1253.41,97.17,212,0,0,34.67981219291687,6
61,Training,948.02,829.56,2.01,1258.44,98.11,212,0,0,32.7105233669281,6
62,Training,940.94,824.86,1.98,1250.02,98.11,212,0,0,33.17125654220581,6
63,Training,932.44,821.2,1.96,1241.22,98.11,212,0,0,32.28800344467163,6
64,Training,933.66,817.78,1.95,1239.89,98.11,212,0,0,31.9369957447052,6
65,Training,942.29,816.02,1.96,1245.25,98.11,212,0,0,32.06256580352783,6
