Date,Mean of error,SD of error
2015-12-07,1644.38,1335.78
2015-12-14,1644.38,1335.78
2015-12-21,1644.38,1335.78
2015-12-28,1644.38,1335.78
2016-01-04,1636.59,1321.18
2016-01-11,1636.59,1321.18
2016-01-18,1636.59,1321.18
2016-01-25,1636.59,1321.18
2016-02-01,1603.16,1288.49
2016-02-08,1603.16,1288.49
2016-02-15,1603.16,1288.49
2016-02-22,1603.16,1288.49
2016-02-29,1515.06,1244.9
2016-03-07,1515.06,1244.9
2016-03-14,1515.06,1244.9
2016-03-21,1515.06,1244.9
2016-03-28,1461.86,1237.14
2016-04-04,1461.86,1237.14
2016-04-11,1461.86,1237.14
2016-04-18,1461.86,1237.14
2016-04-25,1438.31,1257.63
2016-05-02,1438.31,1257.63
2016-05-09,1438.31,1257.63
2016-05-16,1438.31,1257.63
2016-05-23,1430.44,1286.5
2016-05-30,1430.44,1286.5
2016-06-06,1430.44,1286.5
2016-06-13,1430.44,1286.5
2016-06-20,1404.14,1259.34
2016-06-27,1404.14,1259.34
2016-07-04,1404.14,1259.34
2016-07-11,1404.14,1259.34
2016-07-18,1399.54,1225.32
2016-07-25,1399.54,1225.32
2016-08-01,1399.54,1225.32
2016-08-08,1399.54,1225.32
2016-08-15,1401.56,1200.91
2016-08-22,1401.56,1200.91
2016-08-29,1401.56,1200.91
2016-09-05,1401.56,1200.91
2016-09-12,1368.4,1190.9
2016-09-19,1368.4,1190.9
2016-09-26,1368.4,1190.9
2016-10-03,1368.4,1190.9
2016-10-10,1328.09,1160.49
2016-10-17,1328.09,1160.49
2016-10-24,1328.09,1160.49
2016-10-31,1328.09,1160.49
2016-11-07,1414.07,1376.29
2016-11-14,1414.07,1376.29
2016-11-21,1414.07,1376.29
2016-11-28,1414.07,1376.29
2016-12-05,1448.31,1411.08
2016-12-12,1448.31,1411.08
2016-12-19,1448.31,1411.08
2016-12-26,1448.31,1411.08
2017-01-02,1484.69,1413.96
2017-01-09,1484.69,1413.96
2017-01-16,1484.69,1413.96
2017-01-23,1484.69,1413.96
2017-01-30,1504.19,1409.02
2017-02-06,1504.19,1409.02
2017-02-13,1504.19,1409.02
2017-02-20,1504.19,1409.02
2017-02-27,1447.6,1373.49
2017-03-06,1447.6,1373.49
2017-03-13,1447.6,1373.49
2017-03-20,1447.6,1373.49
2017-03-27,1371.97,1323.68
2017-04-03,1371.97,1323.68
2017-04-10,1371.97,1323.68
2017-04-17,1371.97,1323.68
2017-04-24,1318.54,1279.01
2017-05-01,1318.54,1279.01
2017-05-08,1318.54,1279.01
2017-05-15,1318.54,1279.01
2017-05-22,1296.72,1238.31
2017-05-29,1296.72,1238.31
2017-06-05,1296.72,1238.31
2017-06-12,1296.72,1238.31
2017-06-19,1259.37,1200.9
2017-06-26,1259.37,1200.9
2017-07-03,1259.37,1200.9
2017-07-10,1259.37,1200.9
2017-07-17,1248.6,1151.21
2017-07-24,1248.6,1151.21
2017-07-31,1248.6,1151.21
2017-08-07,1248.6,1151.21
2017-08-14,1286.13,1156.34
2017-08-21,1286.13,1156.34
2017-08-28,1286.13,1156.34
2017-09-04,1286.13,1156.34
2017-09-11,1280.27,1139.82
2017-09-18,1280.27,1139.82
2017-09-25,1280.27,1139.82
2017-10-02,1280.27,1139.82
2017-10-09,1342.62,1174.36
2017-10-16,1342.62,1174.36
2017-10-23,1342.62,1174.36
2017-10-30,1342.62,1174.36
2017-11-06,1368.53,1150.03
2017-11-13,1368.53,1150.03
2017-11-20,1368.53,1150.03
2017-11-27,1368.53,1150.03
2017-12-04,1357.22,1149.93
2017-12-11,1357.22,1149.93
2017-12-18,1357.22,1149.93
2017-12-25,1357.22,1149.93
2018-01-01,1379.81,1145.75
2018-01-08,1379.81,1145.75
2018-01-15,1379.81,1145.75
2018-01-22,1379.81,1145.75
2018-01-29,1373.4,1142.69
2018-02-05,1373.4,1142.69
2018-02-12,1373.4,1142.69
2018-02-19,1373.4,1142.69
2018-02-26,1374.12,1134.08
2018-03-05,1374.12,1134.08
2018-03-12,1374.12,1134.08
2018-03-19,1374.12,1134.08
2018-03-26,1333.66,1093.33
2018-04-02,1333.66,1093.33
2018-04-09,1333.66,1093.33
2018-04-16,1333.66,1093.33
2018-04-23,1338.35,1088.29
2018-04-30,1338.35,1088.29
2018-05-07,1338.35,1088.29
2018-05-14,1338.35,1088.29
2018-05-21,1325.94,1084.01
2018-05-28,1325.94,1084.01
2018-06-04,1325.94,1084.01
2018-06-11,1325.94,1084.01
2018-06-18,1333.95,1089.4
2018-06-25,1333.95,1089.4
2018-07-02,1333.95,1089.4
2018-07-09,1333.95,1089.4
2018-07-16,1330.87,1094.45
2018-07-23,1330.87,1094.45
2018-07-30,1330.87,1094.45
2018-08-06,1330.87,1094.45
2018-08-13,1359.1,1095.8
2018-08-20,1359.1,1095.8
2018-08-27,1359.1,1095.8
2018-09-03,1359.1,1095.8
2018-09-10,1364.96,1099.12
2018-09-17,1364.96,1099.12
2018-09-24,1364.96,1099.12
2018-10-01,1364.96,1099.12
2018-10-08,1376.65,1095.83
2018-10-15,1376.65,1095.83
2018-10-22,1376.65,1095.83
2018-10-29,1376.65,1095.83
2018-11-05,1393.2,1102.64
2018-11-12,1393.2,1102.64
2018-11-19,1393.2,1102.64
2018-11-26,1393.2,1102.64
2018-12-03,1385.52,1104.58
2018-12-10,1385.52,1104.58
2018-12-17,1385.52,1104.58
2018-12-24,1385.52,1104.58
2018-12-31,1408.26,1099.26
2019-01-07,1408.26,1099.26
2019-01-14,1408.26,1099.26
2019-01-21,1408.26,1099.26
2019-01-28,1366.44,1065.54
2019-02-04,1366.44,1065.54
2019-02-11,1366.44,1065.54
2019-02-18,1366.44,1065.54
2019-02-25,1364.5,1059.37
2019-03-04,1364.5,1059.37
2019-03-11,1364.5,1059.37
2019-03-18,1364.5,1059.37
2019-03-25,1336.2,1067.7
2019-04-01,1336.2,1067.7
2019-04-08,1336.2,1067.7
2019-04-15,1336.2,1067.7
2019-04-22,1321.6,1071.25
2019-04-29,1321.6,1071.25
2019-05-06,1321.6,1071.25
2019-05-13,1321.6,1071.25
2019-05-20,1295.37,1058.34
2019-05-27,1295.37,1058.34
2019-06-03,1295.37,1058.34
2019-06-10,1295.37,1058.34
2019-06-17,1280.43,1051.89
2019-06-24,1280.43,1051.89
2019-07-01,1280.43,1051.89
2019-07-08,1280.43,1051.89
2019-07-15,1280.35,1049.72
2019-07-22,1280.35,1049.72
2019-07-29,1280.35,1049.72
2019-08-05,1280.35,1049.72
2019-08-12,1275.93,1051.55
2019-08-19,1275.93,1051.55
