Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,1892.3,1560.84,3.90,2450.67,80.56,192,1,0,58.398794651031494,1
2,Inferencing,1763.87,1382.31,3.67,2239.01,80.56,4,0,0,1.0604546070098877,1
3,Inferencing,1786.36,1417.52,3.76,2278.41,81.02,4,0,0,1.114311933517456,1
4,Inferencing,1840.11,1486.22,3.93,2363.18,81.02,4,0,0,1.1037418842315674,1
5,Inferencing,1914.71,1586.97,4.16,2484.53,79.63,4,0,0,1.0533993244171143,1
6,Inferencing,1998.79,1678.59,4.40,2607.64,77.31,4,0,0,1.1034910678863525,1
7,Inferencing,2020.74,1644.82,4.46,2603.13,75.93,4,0,0,1.1043612957000732,1
8,Inferencing,2079.86,1753.7,4.64,2717.91,75.93,4,0,0,1.1054508686065674,1
9,Inferencing,2121.83,2009.24,4.82,2918.99,78.24,3,1,0,2.4265940189361572,1
10,Inferencing,1912.61,1690.77,4.32,2550.2,82.41,0,4,0,58.341673612594604,1
11,Inferencing,1959.33,1725.44,4.49,2608.13,81.02,4,0,0,1.0805609226226807,1
12,Inferencing,1924.63,1608.43,4.43,2505.85,83.33,3,1,0,1.5534183979034424,1
13,Inferencing,1921.2,1629.28,4.44,2516.6,82.41,3,1,0,0.926628589630127,1
14,Inferencing,1941.34,1606.92,4.49,2517.74,82.87,4,0,0,1.164292573928833,1
15,Inferencing,1929.59,1564.83,4.46,2482.07,83.33,4,0,0,1.1138229370117188,1
16,Inferencing,1964.79,1545.14,4.53,2497.35,80.56,4,0,0,1.0802488327026367,1
17,Inferencing,1986.08,1515.6,4.58,2496.18,81.02,4,0,0,1.15254807472229,1
18,Inferencing,2016.62,1485.77,4.64,2502.81,80.56,4,0,0,1.0864946842193604,1
19,Inferencing,1953.77,1478.33,4.53,2447.97,81.48,4,0,0,1.112417221069336,1
20,Inferencing,1932.6,1432.15,4.47,2403.44,82.41,4,0,0,1.085294485092163,1
21,Inferencing,1910.4,1408.63,4.42,2371.64,82.41,4,0,0,1.1547133922576904,1
22,Inferencing,1910.58,1420.1,4.42,2378.58,80.56,4,0,0,1.1088275909423828,1
23,Inferencing,1852.0,1432.96,4.31,2339.61,82.41,4,0,0,1.0886609554290771,1
24,Inferencing,1845.92,1422.14,4.29,2328.21,81.94,4,0,0,1.0884547233581543,1
25,Inferencing,1835.3,1416.44,4.27,2316.32,81.94,4,0,0,1.083848476409912,1
26,Inferencing,1833.98,1409.97,4.26,2311.34,81.48,4,0,0,1.0959928035736084,1
27,Inferencing,1842.17,1397.0,4.27,2310.01,81.94,4,0,0,1.0952675342559814,1
28,Inferencing,1828.74,1387.36,4.24,2293.5,82.41,4,0,0,1.0668799877166748,1
29,Inferencing,1868.78,1413.39,4.31,2341.1,81.48,4,0,0,1.1191990375518799,1
30,Inferencing,1925.92,1410.41,4.41,2385.21,81.02,4,0,0,1.1110937595367432,1
31,Inferencing,1922.92,1400.06,4.39,2376.7,81.02,4,0,0,1.0803110599517822,1
32,Inferencing,1914.81,1385.2,4.36,2361.44,81.94,4,0,0,1.063772439956665,1
33,Inferencing,1891.24,1377.12,4.31,2337.62,82.87,4,0,0,1.0954277515411377,1
34,Inferencing,1885.18,1378.17,4.30,2333.34,83.33,4,0,0,1.1865723133087158,1
35,Inferencing,1846.82,1388.83,4.22,2308.82,83.33,4,0,0,1.0955815315246582,1
36,Inferencing,1885.6,1406.34,4.29,2350.34,81.94,4,0,0,1.0966379642486572,1
37,Inferencing,1945.85,1444.55,4.42,2421.45,80.09,4,0,0,1.1279017925262451,1
38,Inferencing,1976.53,1439.8,4.48,2443.38,80.09,4,0,0,1.0756139755249023,1
39,Inferencing,1983.9,1435.48,4.50,2446.82,80.09,4,0,0,1.0817303657531738,1
40,Inferencing,1980.14,1432.92,4.49,2442.28,80.09,4,0,0,1.0667123794555664,1
